"Town","FIPS","Year","Admission Type","Measure Type","Variable","Value"
"Andover","0901301080","2019","Total","Number","DMHAS Admissions",36
"Andover","0901301080","2019","Total","Rate (per 10,000)","DMHAS Admissions",112.39
"Andover","0901301080","2019","Total","Rate (per 10,000)","Margins of Error",4.35
"Andover","0901301080","2020","Mental Health","Number","DMHAS Admissions",-9999
"Andover","0901301080","2020","Mental Health","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2020","Mental Health","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2020","Mental Health","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2020","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2020","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2020","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2020","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2020","Substance Abuse","Number","DMHAS Admissions",20
"Andover","0901301080","2020","Substance Abuse","Percent","DMHAS Admissions",55.56
"Andover","0901301080","2020","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",62.93
"Andover","0901301080","2020","Substance Abuse","Rate (per 10,000)","Margins of Error",2.77
"Andover","0901301080","2020","Total","Number","DMHAS Admissions",36
"Andover","0901301080","2020","Total","Rate (per 10,000)","DMHAS Admissions",113.28
"Andover","0901301080","2020","Total","Rate (per 10,000)","Margins of Error",4.99
"Ansonia","0900901220","2010","Mental Health","Number","DMHAS Admissions",480
"Ansonia","0900901220","2010","Mental Health","Percent","DMHAS Admissions",55.62
"Ansonia","0900901220","2010","Mental Health","Rate (per 10,000)","DMHAS Admissions",250.48
"Ansonia","0900901220","2010","Mental Health","Rate (per 10,000)","Margins of Error",0.59
"Ansonia","0900901220","2010","Mental Health and Substance Abuse","Number","DMHAS Admissions",72
"Ansonia","0900901220","2010","Mental Health and Substance Abuse","Percent","DMHAS Admissions",8.34
"Ansonia","0900901220","2010","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",37.57
"Ansonia","0900901220","2010","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.09
"Ansonia","0900901220","2010","Substance Abuse","Number","DMHAS Admissions",311
"Ansonia","0900901220","2010","Substance Abuse","Percent","DMHAS Admissions",36.04
"Ansonia","0900901220","2010","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",162.29
"Ansonia","0900901220","2010","Substance Abuse","Rate (per 10,000)","Margins of Error",0.38
"Ansonia","0900901220","2010","Total","Number","DMHAS Admissions",863
"Ansonia","0900901220","2010","Total","Rate (per 10,000)","DMHAS Admissions",450.35
"Ansonia","0900901220","2010","Total","Rate (per 10,000)","Margins of Error",1.06
"Ansonia","0900901220","2011","Mental Health","Number","DMHAS Admissions",518
"Ansonia","0900901220","2011","Mental Health","Percent","DMHAS Admissions",58.47
"Ansonia","0900901220","2011","Mental Health","Rate (per 10,000)","DMHAS Admissions",269.89
"Ansonia","0900901220","2011","Mental Health","Rate (per 10,000)","Margins of Error",0.51
"Ansonia","0900901220","2011","Mental Health and Substance Abuse","Number","DMHAS Admissions",69
"Ansonia","0900901220","2011","Mental Health and Substance Abuse","Percent","DMHAS Admissions",7.79
"Ansonia","0900901220","2011","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",35.95
"Ansonia","0900901220","2011","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.07
"Ansonia","0900901220","2011","Substance Abuse","Number","DMHAS Admissions",299
"Ansonia","0900901220","2011","Substance Abuse","Percent","DMHAS Admissions",33.75
"Ansonia","0900901220","2011","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",155.79
"Ansonia","0900901220","2011","Substance Abuse","Rate (per 10,000)","Margins of Error",0.29
"Ansonia","0900901220","2011","Total","Number","DMHAS Admissions",886
"Ansonia","0900901220","2011","Total","Rate (per 10,000)","DMHAS Admissions",461.63
"Ansonia","0900901220","2011","Total","Rate (per 10,000)","Margins of Error",0.87
"Ansonia","0900901220","2012","Mental Health","Number","DMHAS Admissions",526
"Ansonia","0900901220","2012","Mental Health","Percent","DMHAS Admissions",59.98
"Ansonia","0900901220","2012","Mental Health","Rate (per 10,000)","DMHAS Admissions",274.13
"Ansonia","0900901220","2012","Mental Health","Rate (per 10,000)","Margins of Error",0.49
"Ansonia","0900901220","2012","Mental Health and Substance Abuse","Number","DMHAS Admissions",69
"Ansonia","0900901220","2012","Mental Health and Substance Abuse","Percent","DMHAS Admissions",7.87
"Ansonia","0900901220","2012","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",35.96
"Ansonia","0900901220","2012","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.06
"Ansonia","0900901220","2012","Substance Abuse","Number","DMHAS Admissions",282
"Ansonia","0900901220","2012","Substance Abuse","Percent","DMHAS Admissions",32.16
"Ansonia","0900901220","2012","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",146.97
"Ansonia","0900901220","2012","Substance Abuse","Rate (per 10,000)","Margins of Error",0.26
"Ansonia","0900901220","2012","Total","Number","DMHAS Admissions",877
"Ansonia","0900901220","2012","Total","Rate (per 10,000)","DMHAS Admissions",457.06
"Ansonia","0900901220","2012","Total","Rate (per 10,000)","Margins of Error",0.81
"Ansonia","0900901220","2013","Mental Health","Number","DMHAS Admissions",527
"Ansonia","0900901220","2013","Mental Health","Percent","DMHAS Admissions",61.35
"Ansonia","0900901220","2013","Mental Health","Rate (per 10,000)","DMHAS Admissions",275.01
"Ansonia","0900901220","2013","Mental Health","Rate (per 10,000)","Margins of Error",0.39
"Ansonia","0900901220","2013","Mental Health and Substance Abuse","Number","DMHAS Admissions",56
"Ansonia","0900901220","2013","Mental Health and Substance Abuse","Percent","DMHAS Admissions",6.52
"Ansonia","0900901220","2013","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",29.22
"Ansonia","0900901220","2013","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.04
"Ansonia","0900901220","2013","Substance Abuse","Number","DMHAS Admissions",276
"Ansonia","0900901220","2013","Substance Abuse","Percent","DMHAS Admissions",32.13
"Ansonia","0900901220","2013","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",144.03
"Ansonia","0900901220","2013","Substance Abuse","Rate (per 10,000)","Margins of Error",0.2
"Ansonia","0900901220","2013","Total","Number","DMHAS Admissions",859
"Ansonia","0900901220","2013","Total","Rate (per 10,000)","DMHAS Admissions",448.26
"Ansonia","0900901220","2013","Total","Rate (per 10,000)","Margins of Error",0.63
"Ansonia","0900901220","2014","Mental Health","Number","DMHAS Admissions",517
"Ansonia","0900901220","2014","Mental Health","Percent","DMHAS Admissions",60.12
"Ansonia","0900901220","2014","Mental Health","Rate (per 10,000)","DMHAS Admissions",270.28
"Ansonia","0900901220","2014","Mental Health","Rate (per 10,000)","Margins of Error",0.44
"Ansonia","0900901220","2014","Mental Health and Substance Abuse","Number","DMHAS Admissions",59
"Ansonia","0900901220","2014","Mental Health and Substance Abuse","Percent","DMHAS Admissions",6.86
"Ansonia","0900901220","2014","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",30.84
"Ansonia","0900901220","2014","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.05
"Ansonia","0900901220","2014","Substance Abuse","Number","DMHAS Admissions",284
"Ansonia","0900901220","2014","Substance Abuse","Percent","DMHAS Admissions",33.02
"Ansonia","0900901220","2014","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",148.47
"Ansonia","0900901220","2014","Substance Abuse","Rate (per 10,000)","Margins of Error",0.24
"Ansonia","0900901220","2014","Total","Number","DMHAS Admissions",860
"Ansonia","0900901220","2014","Total","Rate (per 10,000)","DMHAS Admissions",449.6
"Ansonia","0900901220","2014","Total","Rate (per 10,000)","Margins of Error",0.73
"Ansonia","0900901220","2015","Mental Health","Number","DMHAS Admissions",514
"Ansonia","0900901220","2015","Mental Health","Percent","DMHAS Admissions",60.33
"Ansonia","0900901220","2015","Mental Health","Rate (per 10,000)","DMHAS Admissions",270.03
"Ansonia","0900901220","2015","Mental Health","Rate (per 10,000)","Margins of Error",0.65
"Ansonia","0900901220","2015","Mental Health and Substance Abuse","Number","DMHAS Admissions",48
"Ansonia","0900901220","2015","Mental Health and Substance Abuse","Percent","DMHAS Admissions",5.63
"Ansonia","0900901220","2015","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",25.22
"Ansonia","0900901220","2015","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.06
"Ansonia","0900901220","2015","Substance Abuse","Number","DMHAS Admissions",290
"Ansonia","0900901220","2015","Substance Abuse","Percent","DMHAS Admissions",34.04
"Ansonia","0900901220","2015","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",152.35
"Ansonia","0900901220","2015","Substance Abuse","Rate (per 10,000)","Margins of Error",0.37
"Ansonia","0900901220","2015","Total","Number","DMHAS Admissions",852
"Ansonia","0900901220","2015","Total","Rate (per 10,000)","DMHAS Admissions",447.6
"Ansonia","0900901220","2015","Total","Rate (per 10,000)","Margins of Error",1.08
"Ansonia","0900901220","2016","Mental Health","Number","DMHAS Admissions",511
"Ansonia","0900901220","2016","Mental Health","Percent","DMHAS Admissions",50.15
"Ansonia","0900901220","2016","Mental Health","Rate (per 10,000)","DMHAS Admissions",269.66
"Ansonia","0900901220","2016","Mental Health","Rate (per 10,000)","Margins of Error",0.43
"Ansonia","0900901220","2016","Mental Health and Substance Abuse","Number","DMHAS Admissions",55
"Ansonia","0900901220","2016","Mental Health and Substance Abuse","Percent","DMHAS Admissions",5.4
"Ansonia","0900901220","2016","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",29.02
"Ansonia","0900901220","2016","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.05
"Ansonia","0900901220","2016","Substance Abuse","Number","DMHAS Admissions",453
"Ansonia","0900901220","2016","Substance Abuse","Percent","DMHAS Admissions",44.46
"Ansonia","0900901220","2016","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",239.05
"Ansonia","0900901220","2016","Substance Abuse","Rate (per 10,000)","Margins of Error",0.38
"Ansonia","0900901220","2016","Total","Number","DMHAS Admissions",1019
"Ansonia","0900901220","2016","Total","Rate (per 10,000)","DMHAS Admissions",537.73
"Ansonia","0900901220","2016","Total","Rate (per 10,000)","Margins of Error",0.85
"Ansonia","0900901220","2017","Mental Health","Number","DMHAS Admissions",530
"Ansonia","0900901220","2017","Mental Health","Percent","DMHAS Admissions",60.23
"Ansonia","0900901220","2017","Mental Health","Rate (per 10,000)","DMHAS Admissions",279.64
"Ansonia","0900901220","2017","Mental Health","Rate (per 10,000)","Margins of Error",0.4
"Ansonia","0900901220","2017","Mental Health and Substance Abuse","Number","DMHAS Admissions",53
"Ansonia","0900901220","2017","Mental Health and Substance Abuse","Percent","DMHAS Admissions",6.02
"Ansonia","0900901220","2017","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",27.96
"Ansonia","0900901220","2017","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.04
"Ansonia","0900901220","2017","Substance Abuse","Number","DMHAS Admissions",297
"Ansonia","0900901220","2017","Substance Abuse","Percent","DMHAS Admissions",33.75
"Ansonia","0900901220","2017","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",156.7
"Ansonia","0900901220","2017","Substance Abuse","Rate (per 10,000)","Margins of Error",0.22
"Ansonia","0900901220","2017","Total","Number","DMHAS Admissions",880
"Ansonia","0900901220","2017","Total","Rate (per 10,000)","DMHAS Admissions",464.31
"Ansonia","0900901220","2017","Total","Rate (per 10,000)","Margins of Error",0.66
"Ansonia","0900901220","2018","Mental Health","Number","DMHAS Admissions",496
"Ansonia","0900901220","2018","Mental Health","Percent","DMHAS Admissions",49.75
"Ansonia","0900901220","2018","Mental Health","Rate (per 10,000)","DMHAS Admissions",262.99
"Ansonia","0900901220","2018","Mental Health","Rate (per 10,000)","Margins of Error",0.73
"Ansonia","0900901220","2018","Mental Health and Substance Abuse","Number","DMHAS Admissions",61
"Ansonia","0900901220","2018","Mental Health and Substance Abuse","Percent","DMHAS Admissions",6.12
"Ansonia","0900901220","2018","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",32.34
"Ansonia","0900901220","2018","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.09
"Ansonia","0900901220","2018","Substance Abuse","Number","DMHAS Admissions",440
"Ansonia","0900901220","2018","Substance Abuse","Percent","DMHAS Admissions",44.13
"Ansonia","0900901220","2018","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",233.3
"Ansonia","0900901220","2018","Substance Abuse","Rate (per 10,000)","Margins of Error",0.64
"Ansonia","0900901220","2018","Total","Number","DMHAS Admissions",997
"Ansonia","0900901220","2018","Total","Rate (per 10,000)","DMHAS Admissions",528.63
"Ansonia","0900901220","2018","Total","Rate (per 10,000)","Margins of Error",1.46
"Ansonia","0900901220","2019","Mental Health","Number","DMHAS Admissions",233
"Ansonia","0900901220","2019","Mental Health","Percent","DMHAS Admissions",53.69
"Ansonia","0900901220","2019","Mental Health","Rate (per 10,000)","DMHAS Admissions",123.92
"Ansonia","0900901220","2019","Mental Health","Rate (per 10,000)","Margins of Error",0.32
"Ansonia","0900901220","2019","Mental Health and Substance Abuse","Number","DMHAS Admissions",25
"Ansonia","0900901220","2019","Mental Health and Substance Abuse","Percent","DMHAS Admissions",5.76
"Ansonia","0900901220","2019","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",13.3
"Ansonia","0900901220","2019","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.03
"Ansonia","0900901220","2019","Substance Abuse","Number","DMHAS Admissions",176
"Ansonia","0900901220","2019","Substance Abuse","Percent","DMHAS Admissions",40.55
"Ansonia","0900901220","2019","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",93.61
"Ansonia","0900901220","2019","Substance Abuse","Rate (per 10,000)","Margins of Error",0.24
"Ansonia","0900901220","2019","Total","Number","DMHAS Admissions",434
"Ansonia","0900901220","2019","Total","Rate (per 10,000)","DMHAS Admissions",230.83
"Ansonia","0900901220","2019","Total","Rate (per 10,000)","Margins of Error",0.59
"Ansonia","0900901220","2020","Mental Health","Number","DMHAS Admissions",233
"Ansonia","0900901220","2020","Mental Health","Percent","DMHAS Admissions",53.69
"Ansonia","0900901220","2020","Mental Health","Rate (per 10,000)","DMHAS Admissions",124.54
"Ansonia","0900901220","2020","Mental Health","Rate (per 10,000)","Margins of Error",0.21
"Ansonia","0900901220","2020","Mental Health and Substance Abuse","Number","DMHAS Admissions",25
"Ansonia","0900901220","2020","Mental Health and Substance Abuse","Percent","DMHAS Admissions",5.76
"Ansonia","0900901220","2020","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",13.36
"Ansonia","0900901220","2020","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.02
"Ansonia","0900901220","2020","Substance Abuse","Number","DMHAS Admissions",176
"Ansonia","0900901220","2020","Substance Abuse","Percent","DMHAS Admissions",40.55
"Ansonia","0900901220","2020","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",94.07
"Ansonia","0900901220","2020","Substance Abuse","Rate (per 10,000)","Margins of Error",0.16
"Ansonia","0900901220","2020","Total","Number","DMHAS Admissions",434
"Ansonia","0900901220","2020","Total","Rate (per 10,000)","DMHAS Admissions",231.97
